arabic_term,english_translation,category
كما,as,"General Nouns"
أنا,I,"General Nouns"
له,his,"General Nouns"
أن,that,"General Nouns"
هذه,this (fem),General Nouns
هو,he,"General Nouns"
كان,was,Verbs
إلى,to,"General Nouns"
في,in,"General Nouns"
هي,she,"General Nouns"
مع,with,"General Nouns"
هم,they,"General Nouns"
يكون,"to be",Verbs
واحد,one,Numbers
ديك,rooster,Daily Life
هذا,this,"General Nouns"
من,from,"General Nouns"
بواسطة,by,"General Nouns"
حار,hot,Adjectives
كلمة,word,"General Nouns"
لكن,but,"General Nouns"
ما,what,"General Nouns"
بعض,some,"General Nouns"
أنت,you,"General Nouns"
أو,or,"General Nouns"
و,and,"General Nouns"
من,from,"General Nouns"
نحن,we,"General Nouns"
علبة,can/box,Verbs
خارج,out,"General Nouns"
آخر,other,"General Nouns"
التي,which,"General Nouns"
القيام,doing,Verbs
الوقت,time,Daily Life
إذا,if,"General Nouns"
سوف,will,Verbs
كيف,how,"General Nouns"
قال,said,Verbs
كل,each/every,"General Nouns"
قل,say,Verbs
لا,no,"General Nouns"
مجموعة,set,Verbs
ثلاثة,three,Numbers
تريد,want,Verbs
هواء,air,"General Nouns"
جيد,well,"General Nouns"
أيضا,also,"General Nouns"
لعب,play,Verbs
صغير,small,Adjectives
نهاية,end,"General Nouns"
وضع,put,Verbs
المنزل,home,Daily Life
قرأ,read,Verbs
يد,hand,Daily Life
ميناء,port,"General Nouns"
كبير,large,Adjectives
تهجى,spell,"General Nouns"
إضافة,add,Verbs
حتى,even,"General Nouns"
أرض,land,Daily Life
هنا,here,"General Nouns"
يجب,must,"General Nouns"
عالي,high,Adjectives
مثل,such,"General Nouns"
تابع,follow,Verbs
عمل,act,Verbs
لماذا,why,"General Nouns"
أسأل,ask,Verbs
ذهب,went,Verbs
رجال,men,"General Nouns"
تغيير,change,Verbs
ضوء,light,Adjectives
نوع,kind,"General Nouns"
إيقاف,off,"General Nouns"
حاجة,need,Verbs
منزل,house,Daily Life
صورة,picture,"General Nouns"
محاولة,try,Verbs
